,RxDevice,FileId,TxDevice,Gentime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,PathCount,RadiusOfCurve,Confidence,DHeading,class
1437215,2200,1251271-B,2200,2.92799E+14,-5397,39,5231,42.33100891,-83.08603668,144.6000061,30.78000069,202.8874969,5.400000095,20.01000023,-0.180000007,-1.480000019,11,-167.1000061,24,14.46250916,A2
1437216,2200,1251271-B,2200,2.92799E+14,-5397,40,5232,42.33100891,-83.08603668,144.6999969,31.02000046,203.3000031,6.699999809,20.01000023,-0.25999999,-0.050000001,11,-184.8000031,28,14.05000305,A2
1437217,2200,1251271-B,2200,2.92799E+14,-5397,41,5233,42.33095932,-83.0860672,145,31.5,201.6499939,6.510000229,20.01000023,0,-2.559999943,11,-207.8000031,49,15.625,A2
1449446,2200,1251271-B,2200,2.928E+14,-21263,57,17462,42.23258972,-83.3685379,161.8000031,30.02000046,251.9250031,5.929999828,20.01000023,0,-2.519999981,2,1350.900024,24,0.074996948,A2
652374,2111,1292019,2111,2.92776E+14,-9065,68,2484,42.19972992,-83.75773621,223,2.880000114,269.0499878,5.46999979,20.01000023,0,0.899999976,3,-437.3999939,79,0.150024414,A2
652375,2111,1292019,2111,2.92776E+14,-9065,69,2485,42.19972992,-83.75773621,223,3.440000057,269.1499939,5.46999979,20.01000023,0,0.899999976,3,3276.699951,69,0.537506104,A2
652376,2111,1292019,2111,2.92776E+14,-9065,70,2486,42.19972992,-83.75775146,223,3.980000019,269.2374878,5.46999979,20.01000023,0,0.899999976,3,749.2999878,70,2.724975586,A2
652377,2111,1292019,2111,2.92776E+14,-9065,71,2487,42.19972992,-83.75775146,223,3.640000105,267.7875061,7.489999771,20.01000023,0,-1.440000057,3,416.1000061,38,1.424987793,A2
652378,2111,1292019,2111,2.92776E+14,-9065,72,2488,42.19972992,-83.75775909,223,4.380000114,267.6375122,7.489999771,20.01000023,0,-1.440000057,3,335.7999878,36,1.962493896,A2
652379,2111,1292019,2111,2.92776E+14,-9065,73,2489,42.19972992,-83.75775909,223,4.28000021,267.7124939,7.949999809,20.01000023,-0.180000007,-2.450000048,3,334.2999878,34,1.1875,A2
652380,2111,1292019,2111,2.92776E+14,-9065,74,2490,42.19972992,-83.75776672,223,5.079999924,267.4624939,7.949999809,20.01000023,-0.180000007,-2.450000048,3,383.3999939,36,2.75,A2
652381,2111,1292019,2111,2.92776E+14,-9065,75,2491,42.19972992,-83.75776672,223,4.960000038,268.4500122,7.75,20.01000023,-0.319999993,-1.029999971,3,479,54,0.5,A2
652382,2111,1292019,2111,2.92776E+14,-9065,76,2492,42.19972992,-83.75778198,223,5.739999771,268.3500061,7.75,20.01000023,-0.319999993,-1.029999971,3,670.5,92,0.049987793,A2
652383,2111,1292019,2111,2.92776E+14,-9065,77,2493,42.19972992,-83.75778198,223,5.260000229,268.3999939,5.760000229,20.01000023,-0.280000001,-0.219999999,3,1067.199951,46,1.299987793,A2
693120,2111,1292029,2111,2.92792E+14,-15415,40,1789,42.28805923,-83.69944763,221.8000031,4.679999828,278.8374939,5.300000191,20.01000023,-0.02,-1.309999943,9,-122.8000031,36,1.012512207,A2
